question,level,category,product,option a,option b ,option c,option d,correct answer
Which of the following is the most common cause of raised grain in wood?,3,Wood,Grain,The wood is exposed to direct sunlight,The wood absorbs moisture from sanding or finishing products,"The wood is cut too deeply, causing fibers to lift","The wood is stored in high humidity, causing it to expand unevenly",B
What is the most effective method to prevent raised grain when applying a water-based finish to porous wood such as oak?,5,Wood,Grain,Applying a thin layer of wax before finishing to seal the wood,"Pre-wetting the surface with water, allowing it to dry, and then sanding the wood to remove any raised fibers before finishing",Using a solvent-based finish to avoid moisture absorption,Sanding the wood with very fine-grit sandpaper before applying the finish,B
Which grit sandpaper is best suited for removing heavy material or rough surfaces?,2,Preparation,Sanding,16,40,80,220,B
"What causes ""clogging"" on sandpaper, and how can it affect the sanding process?",3,Preparation,Sanding,Clogging happens because the sandpaper is too coarse for the job,"Clogging occurs when dust or debris builds up in the sandpaper's pores, making it less effective and reducing its cutting ability",Clogging makes the sandpaper more efficient by collecting wood fibers,Clogging occurs when the sandpaper is used at a low speed on the sander,B
What is the primary function of a drum sander in woodworking?,3,Preparation,Sanding,To smooth fine details on intricate woodwork,"To quickly remove large amounts of material from wood surfaces, especially when flattening or leveling",To sand curves and edges with precision,To perform final finishing on wood surfaces,B
What is wood warping?,2,Wood,other,The expansion of wood when exposed to sunlight,The bending or distortion of wood due to uneven moisture content,The smoothing of wood by sanding,The process of wood becoming stronger,B
Which of the following is a common method to prevent warping during drying?,4,Wood,other,Heating wood in direct sunlight,Using a moisture meter to control drying,Storing wood in a humid environment,Drying wood in a microwave,B
Which of the following is NOT a common type of wood warping?,3,Wood,other,Twisting,Cracking,Bowing,Cupping,B
What is the primary cause of grain reversal in woodworking?,4,Wood,other,Using a fine-grit sandpaper only,Sanding against the grain or irregular sanding patterns,Applying finish before sanding,Sanding with the grain,B
In which type of wood is grain reversal most likely to occur?,4,Wood,other,Softwoods like pine,Hardwoods with a pronounced or irregular grain pattern,Engineered wood products like MDF,Plywood,B
What type of finish does Bona Mega provide for hardwood floors?,1,Brand,Bona,A high-gloss oil finish,"A durable, waterborne polyurethane finish",A wax-based finish,A matte chalk paint finish,B
Which Farrow & Ball finish is most suited for walls and ceilings in rooms with low natural light?,3,Brand,Farrow and ball,Modern Emulsion,Estate Emulsion,Full Gloss,Oil finish,B
Which of the following is a drawback of using distemper?,3,Product type,Paint,It is highly resistant to mold and mildew,It is less durable and prone to damage from moisture,It can be easily cleaned without damaging the finish,"It provides a glossy, reflective finish",B
How long does limewash typically take to cure?,3,Product type,Paint,1-2 hours,1-2 weeks,1-2 days,1-2 months,B
Can limewash be used on exterior walls?,4,Product type,Paint,"No, it is only for interior use","Yes, it is ideal for exterior walls in dry climates","Yes, but only on smooth, painted surfaces","Yes, but it cannot be exposed to rain",B
Which of the following is a common result of using colour drenching in a small room?,3,Product type,Paint,The room becomes visually cluttered and chaotic,The room feels larger and more expansive,The room will appear darker with less natural light,The room will lose its sense of depth,B
What is Craig & Rose best known for?,1,Brand,Craig and rose,Furniture manufacturing,Wall paints and decorative finishes,Electrical appliances,Garden tools,B
Which type of paint does Craig & Rose’s “Metallics” collection primarily feature?,3,Brand,Craig and rose,Flat matte finishes with metallic flecks,"Smooth, glossy paints with a reflective metallic shine",Chalk-based metallic finishes for vintage effects,Translucent paints with a metallic sheen for layering,B
What is important to do between staining and varnishing with Manns?,2,Brand,Manns,Wipe with meths,Denib,Sand back fully,Wipe over with water,B
What is Manns trade intense primer used for? ,2,Brand,Manns,Primes and stains the wood with pigmentation,Primes and seals knots and resinous areas,Primes and does not change the colour at all ,Primes and seals the wood in one ,B
How much Manns mix and fill do I need for 20m2? ,2,Brand,Manns,Roughly 20L,"Cant work it out, gap size dependant",Roughly 5L,Roughly 10L,B
What is Polyvine Crackle Glaze used for? ,1,Brand,Polyvine,Creates a tough coating on paint,Used to create decorative aged effects,Creates a semi translucent stain finish on top of paint,Creates a paint finish ,B
What is the woodleys exterior block brush best for applying? ,2,Application,,Flooring varnishes,"Exterior stains, paints and preservers",Worktop oils ,Wax polishes ,B
What is Zinsser BIN used for?,1,Brand,Zinsser,Top coat that blocks tannins and mould,Primer that blocks stains and strong odours,Preserver that prevents mould and mildew ,Water based stain for wood,B
Which of the following is a common issue when applying Zinsser BIN in high humidity conditions?,3,Brand,Zinsser,The primer will dry too quickly and create brush marks,The primer may take longer to dry and could result in uneven coverage or a sticky finish,The primer will form cracks and peel off shortly after application,The primer will turn a different color due to chemical reactions,B
What should you do if Zinsser All Coat Exterior WB gets too thick during use?,4,Brand,Zinsser,Apply it anyway; it will thin out as it dries,Add a small amount of water to thin the paint to the desired consistency,Replace the paint with a fresh can of thinner paint,Use a heat gun to melt the paint and make it more fluid,B
How does Zinsser Bulls Eye 1-2-3 help improve paint adhesion?,4,Brand,Zinsser,"It creates a smooth, glossy surface that enhances the bond between the paint and the surface","It acts as a bonding agent that helps paint adhere to challenging surfaces, such as glossy or previously painted surfaces","It adds a thick, rubber-like layer that prevents paint from peeling off",It works as a filler to repair damaged surfaces before painting,B
Dulux provides a range of paints. Which specific product line is known for excellent moisture resistance for bathrooms and kitchens?,4,Brand,Dulux,Dulux Trade,Dulux Easycare,Dulux Diamond Matt,Dulux Weathershield,B
"Dulux ""Trade"" paints are generally known for which of the following?",1,Brand,Dulux,Being marketed only to DIY consumers,Offering superior coverage and durability for professional decorators,Being the cheapest paint line available,Containing added glitter for aesthetic appeal,B
"Dulux ""Trade"" paints often claim to provide superior coverage. What is one of the primary reasons why Dulux Trade paints are known for their superior coverage compared to consumer-grade paints?",5,Brand,Dulux,"They contain fewer chemicals, which results in a thinner application","They have a higher concentration of pigments, allowing for better hiding and fewer coats","They are only available in smaller quantities, which limits their spread","They dry faster, making the application smoother without creating a thicker coat",B
Dulux Easycare range is marketed as offering enhanced stain resistance. What is the key technology behind the Easycare line’s ability to repel stains?,4,Brand,Dulux,It uses a special cross-linking polymer that prevents liquid from soaking into the surface,It incorporates a nano-tech coating that repels dirt and moisture from adhering to the surface,It includes high-gloss additives that make stains easier to wipe away,It forms a thick layer of protective film that prevents any stain from affecting the surface,B
What is Sandtex Trade Paint primarily known for?,1,Brand,Sandtex,High-gloss finishes on interior wood and metal surfaces,Providing durable and long-lasting protection for exterior masonry and brickwork,Offering a matte finish for indoor walls and ceilings,Quick-drying finishes for garage floors and driveways,B
"Sandtex Trade ""Textured Masonry"" paint is designed for what specific purpose?",2,Brand,Sandtex,To provide a highly glossy finish on rough surfaces,To add a textured finish that hides imperfections and adds aesthetic appeal to masonry,"To create a thin, smooth layer for indoor walls",To be used as a bonding agent for new plaster surfaces,B
"What is Sadolin ""Superdec"" primarily used for?",1,Brand,Sadolin ,Protecting and finishing just metal surfaces for exterior use,Providing long-lasting protection and decorative finish for exterior wood surfaces,Sealing and finishing concrete floors indoors,Painting and decorating interior walls and ceilings,B
Can I use Superdec on previously painted wood?,2,Brand,Sadolin ,"Yes, even on wax and oiled surfaces","Yes, as long as its prepared correctly",No it needs to be stripped completely back,"No, it needs to be bare ",B
What is the main purpose of Osmo Polyx Oil Tints?,1,Brand,Osmo ,"To provide a clear, glossy finish on outdoor furniture",To enhance and protect wooden surfaces while adding a coloured tint,To create a matte finish on metal surfaces,To be used as a primer for non-porous surfaces like glass,B
"When using Osmo Polyx Oil Tints on wood surfaces, which of the following is an essential step for the best finish?",3,Brand,Osmo ,Apply the oil directly onto unprimed wood for an even finish,Sand the surface lightly before application to ensure maximum absorption and even coloration,Mix the tints with water to improve coverage and reduce drying time,"Use a brush to apply the oil, then immediately wipe off excess with a cloth",B
"Customer has applied Osmo UV protection oil but its faded, how do they get the colour back? ",2,Brand,Osmo,Add another coat of the Osmo UV protection oil extra,Use the Osmo wood reviver gel and re apply,Use Osmo country colour directly over the top ,Clean with mould and mildew cleaner,B
What Osmo product is best to seal my terracotta pots? ,2,Brand,Osmo ,Osmo UV protection oil extra in clear 420,Osmo stone and terracotta oil,Osmo polyx oil ,Osmo wood wax finish extra thin ,B
Can Osmo be used on MDF? ,4,Brand,Osmo ,Not recommended,Yes as long as its prepared correctly ,Only the Osmo polyx oil ,Yes but you need to do more coats ,B
Whats the difference between Osmo natural oil woodstain and Osmo natural oil woodstain effect? ,3,Brand,Osmo ,They are both the same,Effect is metalic whilst normal is not metalic,"The effect can go inside, the normal is just outside","The normal is for outside, the effect is for outside",B
What is the water based Osmo paint called? ,3,Brand,Osmo ,Osmo country shades,Osmo garden colour,Osmo country colour,Osmo wood wax finish intensive,B
What makes Fiddes Hard Wax Oil stand out compared to other oil finishes in terms of its formula?,2,Brand,Fiddes,"Contains synthetic resins for a glossy, non-breathable finish","Blends natural oils and waxes for a durable, breathable finish",Requires frequent reapplication due to weak protection,Provides UV protection ,B
Whats the difference between Fiddes natural and Ultra raw? ,2,Brand,Fiddes,Fiddes natural is glossy whilst ultra raw is satin,Fiddes natural has a satin finish and ultra raw is matt,Both are exactly the same just come in different sizes,Fiddes natural is ultra raw and ultra raw is satin ,B
What do you need to mix with the Fiddes wood filler gel? ,2,Brand,Fiddes,Saw dust,Fine sanding dust,Wood shavings,Bark,B
What does Barrettine mould and mildew contain to make it effective at killing mould? ,2,Brand,Barrettine,Oxalic Acid ,Fungicide ,Insecticide ,Permethrin,B
Will the clear Barrettine premier wood preserver darken the wood?,1,Brand,Barrettine,No it will keep it completely natural,It will enhance the natural colours of the wood,It will stain the wood brown ,It contains white pigment and will counteract the darkening effects,B
Can I use Barrettine Premier wood worm killer on a chicken shed and dog kennel?,3,Brand,Barrettine,"Yes, its fine to use around animals",Not recommended as it contains toxic ingredients,Yes as long as you use 3 coats,Yes as long as you ventilate the area,B
Will the Barrettine wood protective 5l size be sufficient to cover a 7x7 shed?,3,Brand,Barrettine,Yes that would be enough for two coats,I don’t know,You would need 2 x 5L,You would only need 2L,B
What is the main difference between Barrettine log cabin treatment clear and Barrettine wood protective in clear? ,3,Brand,Barrettine,"Wood protective has UV, Log cabin treatment does not","Log cabin has UV protection, wood protective does not",Wood protective can go on decking whilst log cabin treatment can not,Both are exactly the same in what they can do,B
Crown’s Trade Satin is designed to provide a finish for which type of surface?,3,Brand,Crown,Glass and mirrors,Wood and metal surfaces,Walls and ceilings,Fabric and upholstery,B
What kind of people does the Crown breatheasy range appeal to? ,3,Brand,Crown,Tradesmen,Asthma Sufferers,People with skin allergies,People who enjoy using solvents,B
Whats in the Crown easyclean Bathroom emulsion that makes it suitable for bathrooms? ,2,Brand,Crown,Slip resistance,Mould guard,Greaseguard,Food safety,B
What makes Liberon Black Bison Wax a popular choice for treating wood?,2,Brand,Liberon,High resistance against heat,Easy to apply and easy to maintain,High resistance against wear and tear,High UV protection,B
What finish will the Liberon Black Patinating wax give?,4,Brand,Liberon,Gives a antique brown finish,Gives an aged look,Replicates denatured timber,Gives an opaque finish ,B
What do you need to mix with Manns trade mix and fill ?,1,Brand,Manns ,Saw dust,Fine sanding dust,Wood shavings,Bark,B
Whats the only finish the Manns premier top oil comes in? ,2,Brand,Manns ,High gloss,Matt,Gloss ,Semi matt ,B
What is a retarder used for? ,5,Brand,Morrells,Shortens the drying time of a product,Prolongs the drying time of a product,Makes a product cure faster,Makes a product cure slower,B
How many coats of Morrells Induro XLA anti slip do you need when using whats recommended before hand?,5,Brand,Morrells,4,1,2,3,B
What would you recommend Protek royal exterior paint for? ,2,Brand,Protek,Decking,Log cabins and sheds,Previously painted windows and doors ,Interior flooring ,B
How does the moisture content in wood affect its weight?,2,Wood,Moisture,It decreases the weight of the wood,Higher moisture content increases the weight of the wood,It makes the wood more flexible.,It has no effect on the weight of the wood,B
How do wood extractives typically affect the finishing of wood?,3,Wood ,Extractives,They enhance the adhesion of paints and stains to the wood surface,"They can cause staining, difficulty in adhesion, and affect the uniformity of finishes",They make the wood more resistant to decay and insect attack,They reduce the need for sanding and preparation before finishing,B
What is a common type of plaster used for internal wall finishes?,4,General K,Plaster,Cement plaster,Gypsum plaster,Lime plaster,Clay plaster,B
How is Accoya wood modified to improve its properties?,3,Wood,Accoya,It is treated with chemical preservatives and dyes,It undergoes a non-toxic acetylation process,It is coated with synthetic resins to increase strength,It is heat-treated to remove moisture and increase density,B
What is a common use for Accoya wood in construction?,5,Wood,Accoya,Roofing shingles and insulation panels,"Window frames, doors, and outdoor decking",Concrete foundations and structural beams,Flooring and interior wall panels,B
What colour does accoya tend to be in its natural state?,2,Wood,Accoya,Similar to Walnut,Similar to Pine ,Similar to Oak,Similar to Cedar,B
How does Tricoya compare to traditional hardwoods in terms of environmental impact?,5,Wood ,Tricoya,Tricoya has a higher environmental impact because it uses toxic chemicals in its treatment process,Tricoya has a lower environmental impact because it is made from fast-growing softwood and treated with a sustainable acetylation process,Tricoya has the same environmental impact as traditional hardwoods due to the energy-intensive manufacturing process,Tricoya has a lower environmental impact because it is entirely made from recycled materials,B
How long can Tricoya wood last when used in outdoor conditions?,4,Wood ,Tricoya,Tricoya wood lasts only 5-10 years in outdoor conditions before it begins to degrade,"Tricoya wood can last up to 50 years or more in outdoor conditions, thanks to its enhanced resistance to moisture, decay, and rot","Tricoya wood lasts about 20 years in outdoor conditions, similar to untreated softwoods",Tricoya wood can last indefinitely in outdoor conditions without any maintenance,B
How does the heat treatment in Thermowood affect its appearance?,4,Wood,Thermowood,"The heat treatment lightens the wood, making it appear almost white or pale yellow","The heat treatment darkens the wood, giving it a rich, deep color and enhances its natural grain patterns",The heat treatment causes the wood to lose its natural grain and texture,"The heat treatment creates a glossy, shiny surface that requires no additional finishing",B
What is the typical lifespan of Thermowood when used in outdoor conditions?,4,Wood,Thermowood,Thermowood can last indefinitely in outdoor conditions without any maintenance,"Thermowood can last up to 50 years or more in outdoor conditions, due to its enhanced resistance to moisture, rot, and decay",Thermowood typically lasts only 5-10 years outdoors before it begins to degrade,"Thermowood lasts for about 15 years outdoors, similar to untreated softwoods",B
What product is acrylic normally found in?,1,General K,other,Oil ,Varnish,Preserver,Wax polishes ,B
What is the effect of applying a second coat of stain to wood?,1,Product type,Stain,It will make the wood become soft and fragile,It deepens the colour and can even out the tone of the wood,It will prevent the wood from absorbing moisture,It will prevent the grain from showing through,B
What spirit is the Osmo brush cleaner and thinner made from?,3,Brand,Osmo ,Methylated spirits,Benzene free white spirit,Water,Cellulose,B
"I have decking that’s 13m x 5m, how many squared meters do I have? ",1,General K,other,55m2,65m2,62m2,60m2,B
What can spraying a product do to the coverage of a product?,4,General K,other,Increase it,Reduce it ,Makes no difference ,Makes it go double as far,B
What would 'R11' stand for? ,3,Brand,Osmo,Heat Resistance,Slip Resistance,Food Resistance,Child safe,B
What are the cons of  a high gloss varnish?,3,Product type,Varnish,"Less durable compared to a matt varnish, but looks nice",Statement sheen but can show up imperfections,More durable than a lower sheen but needs more coats,Same durability as other sheens but hides imperfections for longer,B
"A log cabin has a rectangular footprint with dimensions of 10 meters by 15 meters. The walls are constructed with logs that have a diameter of 0.3 meters. The cabin has a single-story height of 4 meters, and the roof has a triangular shape. What is the total surface area of the four walls of the cabin (excluding windows and doors)?",5,General K,Measurements,120,140,160,180,B
What is the Bona R848 not recommended to be used on/for?,4,Brand,Bona,To lay down parquet boards,As a levelling compound,To lay down narrow floor boards,Used with underfloor heating systems ,B
A customer complains they have used Ronseal ultimate protection decking paint and its flaking off and not adhered. Why could this be? ,4,Brand,Ronseal,Using a brush to apply the product,Didn’t let the wood dry out enough,Waited 4 hours between coats ,Did not stir the product,B
How can you tell a piece of furniture or cladding is solid wood and not mdf or ply?,3,Wood,Wood type,It has perfectly smooth edges with no texture,It has visible wood grain patterns and variations on all sides,It is extremely lightweight and feels hollow,"It always has a glossy, uniform finish",B
Can spalted wood be used for furniture making?,4,Wood,Spalted,"No, because it is too brittle and weak for any kind of furniture","Yes, but only for decorative pieces, not functional furniture","Yes, but only for decorative pieces, not functional furniture","No, because it is too soft and fragile to withstand use",B
In which type of wood does spalting most commonly occur?,5,Wood,Spalted,"Softwood, such as pine or spruce","Hardwood, especially species like maple, birch, and beech",Exotic hardwoods like teak and mahogany,All types of wood equally,B
