questions,level,category,product,option_a,option_b,option_c,option_d,correct_option
"Cedar wood is considered a softwood, but how does its density typically compare to other softwoods like pine?",4,Wood,Cedar,Cedar is less dense than pine,Cedar is denser than pine,Cedar and pine have the same density.,Cedar is the densest of all softwoods,Cedar is less dense than pine
Which of the following is a characteristic of pine wood?,1,Wood,Softwood,Light in colour and relatively soft,Very dark in color and hard,Dense and heavy,Highly resistant to rot and insects,Light in colour and relatively soft
What is the primary reason pressure treated pine wood is often used for outdoor furniture and decking?,2,Wood,Softwood,It is treated with preservatives to resist decay and insects,It naturally resists all weather conditions,It is naturally waterproof,It requires no maintenance or treatment over time,It is treated with preservatives to resist decay and insects
What is iroko wood primarily used for?,2,Wood,Hardwood,"Furniture, flooring, and boat building",Paper production,Carving sculptures,Packaging materials,"Furniture, flooring, and boat building"
What is the scientific name of iroko wood?,5,Wood,Hardwood,Milicia excelsa,Tectona grandis,Quercus robur,Quercus robur,Milicia excelsa
Which chemical property of iroko wood can pose a risk when working with it?,5,Wood,Hardwood,The wood contains compounds that can cause skin irritation or respiratory issues during prolonged exposure,The wood contains high levels of tannins that cause it to be highly toxic when burned,The wood contains strong acids that corrode metal tools,The wood releases a volatile compound that is highly flammable in certain conditions,The wood contains compounds that can cause skin irritation or respiratory issues during prolonged exposure
What is the typical colour of freshly cut idigbo wood?,4,Wood,Hardwood,Pale yellow to light brown,Dark red to reddish-brown,Light grey to white,Golden-yellow with dark streaks,Pale yellow to light brown
What is the scientific name of the tree species that produces idigbo wood?,5,Wood,Hardwood,Terminalia ivorensis,Tectona grandis,Quercus robur,Picea abies,Terminalia ivorensis
What is the primary effect of raised grain on the appearance of wood?,5,Wood,Grain,"It causes the wood surface to feel rough and uneven, affecting the smoothness of the finish.","It creates a glossy, smooth finish on the wood","It enhances the natural color of the wood, making it appear richer",It makes the wood surface more resistant to moisture,"It causes the wood surface to feel rough and uneven, affecting the smoothness of the finish."
Which of the following is the primary reason raised grain tends to be more prominent in coarse-grained hardwoods compared to fine-grained hardwoods?,5,Wood,Grain,"Coarse-grained woods have larger fibers that absorb moisture more readily, causing them to swell and raise more easily.","Coarse-grained woods have lower moisture content, which prevents raised grain","Fine-grained woods have more moisture content, which makes them more prone to raised grain","The tannin content in coarse-grained woods interacts with moisture, preventing raised grain","Coarse-grained woods have larger fibers that absorb moisture more readily, causing them to swell and raise more easily."
Which sandpaper grit is typically used for smoothing wood before applying a varnish finish?,1,Preparation,Sanding,180,40,60,120,180
"Why is it important to use progressive sanding grits (e.g., 80, 150, 220) when finishing wood?",3,Preparation,Sanding,"Using progressively finer grits ensures the removal of scratches left by coarser grits, resulting in a smoother, more refined surface for finishing.","It helps to create deeper scratches, which enhances the texture of the wood","It makes the wood more porous, allowing stains and finishes to absorb better",It eliminates the need for sanding with finer grits after the initial sanding,"Using progressively finer grits ensures the removal of scratches left by coarser grits, resulting in a smoother, more refined surface for finishing."
What type of sanding machine is typically used for smoothing large flat surfaces?,2,Preparation,Sanding,Drum sander,Belt sander,Random orbital sander,Detail sander,Drum sander
Which sanding machine is typically used for sanding edges and small curved areas in woodworking?,3,Preparation,Sanding,Oscillating spindle sander,Belt sander,Random orbital sander,Disk sander,Oscillating spindle sander
Which of the following factors can cause wood to warp?,2,Wood,,Excessive moisture absorption on one side,"Exposure to constant, even humidity",Regular temperature fluctuations,Proper drying techniques,Excessive moisture absorption on one side
"What is ""bowing"" in the context of wood warping?",2,Wood,,When the edges of a board curve up or down,When the wood twists along its length,When the surface of the wood becomes uneven due to improper sanding,When the wood becomes too brittle to work with,When the edges of a board curve up or down
"What is the purpose of a ""chiseled"" edge on a paintbrush?",2,Application,Brush,"To help the brush create sharp, clean lines along edges",To improve brush durability,To create a textured finish on the surface,To allow the brush to hold more paint,"To help the brush create sharp, clean lines along edges"
How can you prevent grain reversal when sanding wood?,4,,,Sand in the direction of the wood grain,Always use a coarse grit sandpaper,Sand across the grain to avoid grain lifting,Apply a thick coat of finish before sanding,Sand in the direction of the wood grain
What Bona product can you use over the Bona craft oil 2k for more durability?,2,Brand,Bona,Bona Traffic HD  ,Bona classic UX primer,Bona mega ,Bona mega evo ,Bona Traffic HD  
What is the purpose of Bona Polish for hardwood floors?,1,Brand,Bona,To restore shine and provide a protective layer,To clean grout and tile,To treat leather furniture,To fully protect wood surfaces,To restore shine and provide a protective layer
Which Bona product is designed to repair and fill gaps in between long floor boards?,1,Brand,Bona,Bona Gap Master,Bona Floor Cleaner,Bona mix and fill plus,Bona Stain Remover,Bona Gap Master
Bona’s hard surface cleaner is designed for use on what type of surfaces?,1,Brand,Bona,"Stone, tile, and laminate floors",Wooden flooring,Leather upholstery,Wooden worktops,"Stone, tile, and laminate floors"
Which surface is most suitable for applying distemper?,3,Product type,Paint,Dry plaster or unpainted walls,Glossy wooden panels,Metal surfaces,Glossy ceramic tiles,Dry plaster or unpainted walls
Which of the following surfaces is most suitable for applying limewash?,4,Product type,Paint,Unfinished plaster or brick,Glossy metal,Smooth plastic,Glossy wood panels,Unfinished plaster or brick
What color is limewash typically available in?,3,Product type,Paint,"Mostly white, with muted earthy tones",Only in shades of red and blue,A wide range of bright colours,Only black,"Mostly white, with muted earthy tones"
What is the main concept behind the technique of colour drenching in interior design?,3,Product type,Paint,Applying a single colour to all surfaces in a room for a cohesive look,Using multiple contrasting colours in a room,Using bright neon colors for accent walls,Combining natural materials like wood and stone for a rustic feel,Applying a single colour to all surfaces in a room for a cohesive look
"In colour drenching, which of the following is NOT a recommended technique to avoid making the room feel flat or monotonous?",4,Product type,Paint,Incorporating furniture pieces in contrasting colors to break up the tone,"Varying the finish on different surfaces (matte for walls, gloss for trim)","Using a single hue for walls, trim, and ceiling",Adding texture through wall treatments like plaster or fabric,Incorporating furniture pieces in contrasting colors to break up the tone
What type of finish does Craig & Rose’s “Chalky Finish” paint offer?,2,Brand,Craig and rose,"A smooth, flat matte finish",Glossy and reflective,A semi-gloss finish,"A textured, semi transparent look","A smooth, flat matte finish"
What are Manns best known for?,1,Brand,Manns,"Mostly water based, cost effective stains, oils and varnishes",Solvent based paints and oils ,Strictly interior brand,Strictly exterior brand,"Mostly water based, cost effective stains, oils and varnishes"
What is best to apply Manns stain with?,1,Brand,Manns,Sponge,Brush,Roller,Trowel,Sponge
"If you had red Manns classic wood dye, and wanted to make purple, what colour would you add? ",2,Brand,Manns ,Blue,Yellow  ,White,Green,Blue
What is Polyvine best known for producing?,1,Brand,Polyvine,Varnishes and decorative coatings,Electrical components,Preservers and paints,Cooking products,Varnishes and decorative coatings
Which Polyvine varnish has the most heat resistance? ,3,Brand,Polyvine,Polyvine heavy duty extreme varnish ,Polyvine decorators varnish ,Polyvine wax finish varnish,Polyvine crackle glaze,Polyvine heavy duty extreme varnish 
What zinsser product is best for covering graffiti?,3,Brand,Zinsser,Zinsser B-I-N,Zinsser Perma white ,Zinsser all coat WB,Zinsser Gardz,Zinsser B-I-N
How should brushes with Zinsser BIN on be cleaned after use?,2,Brand,Zinsser, B-I-N brush cleaner and restorer,Water,Cellulose,Meths, B-I-N brush cleaner and restorer
Can Zinsser All Coat Exterior be used on surfaces that are exposed to harsh weather?,3,Brand,Zinsser,"Yes, it is specially formulated for exterior use and provides long-lasting protection against harsh weather","No, it is only suitable for interior use and should not be exposed to rain or sunlight","Yes, but only if the weather is mild and dry, as it cannot withstand extreme conditions","No, it is only designed for indoor surfaces and will deteriorate quickly in harsh weather","Yes, it is specially formulated for exterior use and provides long-lasting protection against harsh weather"
Zinsser Bulls Eye 1-2-3 is best applied with?,3,Brand,Zinsser,Brush or roller,Sprayer,Sponge,Cloth ,Brush or roller
What is Dulux Paint primarily used for?,1,Brand,Dulux,"For colouring and protecting interior and exterior walls, doors, and trims",To create high-gloss finishes on metal surfaces only,To coat wooden furniture and prevent termites,To provide a textured surface for flooring installations,"For colouring and protecting interior and exterior walls, doors, and trims"
Dulux offers a specific range for which of the following?,1,Brand,Dulux,"High-traffic areas, with enhanced stain resistance",Only outdoor industrial equipment,Only for outdoor decorative items,For only specialised commercial buildings,"High-traffic areas, with enhanced stain resistance"
"What is a major advantage of Dulux's ""Easycare"" range of paints?",3,Brand,Dulux,"They are highly resistant to stains and marks, making them ideal for busy households",They have an extremely glossy finish that resists smudges,They feature a water-based formula suitable for use on metal only,They come only in pastel shades,"They are highly resistant to stains and marks, making them ideal for busy households"
"Dulux ""Trade"" Matt Emulsion is known for its opacity. What feature of this paint contributes to its superior opacity?",4,Brand,Dulux,It is made from high-quality pigments and resins that ensure fewer coats are needed for full coverage,It contains a unique mix of thinners that help the paint cover better,"It dries faster, allowing the surface to appear opaque within minutes","It is designed with a thicker texture, which can make it harder to apply in thin layers",It is made from high-quality pigments and resins that ensure fewer coats are needed for full coverage
"What is a key benefit of Sandtex Trade ""Masonry Paint"" for exterior surfaces?",2,Brand,Sandtex,It is water-based and provides long-lasting protection against harsh weather,It is only available in white,It is not suitable for use in coastal regions,It requires multiple coats for full coverage and durability,It is water-based and provides long-lasting protection against harsh weather
"Sandtex Trade ""Masonry Paint"" offers resistance to environmental factors. What specific formulation feature of Sandtex Trade ""Masonry Paint"" makes it ideal for coastal areas exposed to saltwater and high humidity?",4,Brand,Sandtex,It is fortified with silicone additives that repel water and prevent saltwater damage,It uses an ultra-thick coating that prevents any moisture from penetrating the surface,It includes a built-in anti-corrosion agent designed to protect metal surfaces from rust,"It incorporates a flexible polymer that expands and contracts with weather changes, preventing cracking",It is fortified with silicone additives that repel water and prevent saltwater damage
Can Sadolin Superdec be used to paint the treads of the timber stairs of a house?,3,Brand,Sadolin ,Not suitable for underfoot,Yes as long as a primer is used,"Yes, but it cant have any wax on the surface",No but can be used on decking ,Not suitable for underfoot
Whats important to do whilst using Sadolin PV67?,2,Brand,Sadolin ,Ventilate the area,Close all windows and doors,Do not wear PPE,Let the product dry,Ventilate the area
Osmo Polyx Oil Tints are often recommended for floors. Which of the following properties makes this product particularly suitable for high-traffic areas?,3,Brand,Osmo ,"The oil formula hardens over time, creating a strong, protective surface",It is designed to be easily re-applied in thin layers without sanding,It provides a finish that is smooth but vulnerable to scuff marks,"The tints provide a thick, water-resistant layer that is highly durable","The oil formula hardens over time, creating a strong, protective surface"
What would you recommend the Osmo wood wax finish extra thin for? ,1,Brand,Osmo,Hardwood ,Plywood,Softwood,Concrete,Hardwood 
What do I clean my brushes after using Osmo polyx oil ?,1,Brand,Osmo ,Osmo brush cleaner and thinner,Fiddes wood surface cleaner,Osmo tannin spot remover,Osmo intensive cleaner,Osmo brush cleaner and thinner
Can a customer use a steam cleaner or steam mop after using Osmo polyx oil? ,2,Brand,Osmo ,"No, not under any circumstances",Yes it is recommended by Osmo,"Yes, but only every month or so",No unless you put oil through the steam mop,"No, not under any circumstances"
Can Osmo Woodstain be applied to Thermowood and TMT cladding?,4,Brand,Osmo ,Yes it can ,Not recommended,Only the clear can be used,Only if you apply 4 coats ,Yes it can 
Someone has complained that they needed double the amount of Osmo WR base coat compared to the Osmo country colour. Explain why this could happen? ,3,Brand,Osmo ,This is normal due to the WR base coat having a lower coverage spread rate ,It sounds like they have put the incorrect measurements in ,They have the same coverage rate so complaint upheld,The base coat has a higher coverage rate ,This is normal due to the WR base coat having a lower coverage spread rate 
What is the primary function of Fiddes Hard Wax Oil?,1,Brand,Fiddes,"To provide a protective, durable finish while enhancing the natural beauty of wood","To create a glossy, synthetic layer that completely seals the wood",To make wood surfaces highly reflective and shiny,To permanently stain wood in a specific color,"To provide a protective, durable finish while enhancing the natural beauty of wood"
How long does it take Fiddes hard wax oil to dry? ,2,Brand,Fiddes,4 hours,10 hours,3 hours,1 hour,4 hours
How can I tell if my floor needs another coat of the Fiddes hard wax oil? ,4,Brand,Fiddes,Do an oil test ,Do a water test ,Test the moisture content,Always sand fully and back and apply 1 coat ,Do an oil test 
"The coverage on Fiddes supreme wax polish is 10m2 perL, how much will a 400ml do for one coat? ",2,Brand,Fiddes,4m2,1m2,10m2,8m2 ,4m2
What is the primary function of Barrettine Wood Preserver?,1,Brand,Barrettine,"To protect wood from rot, decay, and fungal growth","To create a glossy, decorative finish on wood surfaces",To seal the wood from the elements,To give timber an opaque paint finish ,"To protect wood from rot, decay, and fungal growth"
Can Barrettine Premier Preserver be applied to damp wood?,1,Brand,Barrettine,"No, the wood needs to be dry before treatment","Yes, you can apply the product to damp timber",Yes as long as its not due to rain ,No but you can apply it whilst its raining ,"No, the wood needs to be dry before treatment"
Can I use a water based paint over the Barrettine Premier Preserver after a year?,3,Brand,Barrettine,No the wax content will stop the paint adhering,"Yes, you can paint over in a year",Yes but you need to wipe over with meths first ,"No, you cant put anything over the Barrettine premier wood preserver ",No the wax content will stop the paint adhering
Can you use Barrettine wood protective treatment to seal untreated wood?,3,Brand,Barrettine,No you need to use a wood preserver first,Yes its perfect to go straight on bare wood,No you need to paint the surface first ,Yes but you need to use the coloured version first,No you need to use a wood preserver first
Can Barrettine All-In-One Decking Oil be used on wood previously painted with a wood primer?,2,Brand,Barrettine,No it will not be able to soak in,"Yes, this is what is recommended",You can but you do not need to use a primer first,Only if you do 3 coats of the oil ,No it will not be able to soak in
Which of the following is a key feature of Crown’s Trade Matt Emulsion?,2,Brand,Crown,High-opacity finish,High-gloss shine,Quick-drying formula,Waterproof protection,High-opacity finish
Crown’s Trade Full Gloss provides a high-gloss finish. What is one of its key features?,4,Brand,Crown,Durability and long-lasting finish,Quick-drying formula,Matt finish ,Low VOC content ,Durability and long-lasting finish
Liberon Finishing Oil is designed to do what?,1,Brand,Liberon,"Nourish and protect wood, giving it a durable water resistant finish",Remove stains from wood surfaces,"Provide a high-gloss, lacquered finish",Enhance the wood's colour with a tinted varnish,"Nourish and protect wood, giving it a durable water resistant finish"
What precautions would you need when using the Liberon floor cleaner?,3,Brand,Liberon,Wear PPE and ventilate the area,Make sure you netrualise the wood after,No special precautions needed,Just wear an apron,Wear PPE and ventilate the area
What is Liberon retouch cream designed to do?,3,Brand,Liberon,Filling metre joints and pin holes,Moisterise the wood,Stains and seals the wood,It acts like a reviver gel to bleach the wood ,Filling metre joints and pin holes
What makes Manns trade bar top lacquer suitable for bar tops? ,2,Brand,Manns ,Chemical resistance,Heat resistance,Slip resistance,Food safety ,Chemical resistance
Whats the only finish the Manns premier door oil comes in?,2,Brand,Manns ,Matt,Satin ,Semi matt ,High gloss ,Matt
How would you describe the C600 colour in Manns classic pine stain?,5,Brand,Manns ,A light to medium brown hue with a colder undertone,A dark red with a brown undertone,A warm bright yellow with a orange undertone,A very dark ebonised finish ,A light to medium brown hue with a colder undertone
What do Morrells recommend you do not do when applying their varnishes?,5,Brand,Morrells,Apply more than 3 coats in a day,Use a sprayer,Ventilate the area,Wear PPE ,Apply more than 3 coats in a day
How many coats of Morrells nitrocellulose lacquer is needed?,3,Brand,Morrells,3 to 9 ,1 to 2 ,4 to 20 ,3 to 11,3 to 9 
What would you usually recommend Protek wood stain and protect for?,2,Brand,Protek,"Childrens play areas, or sheds and fences",Decking and window sills,Interior flooring and worktops,Sleepers and untreated fencing ,"Childrens play areas, or sheds and fences"
"What is the moisture content of wood considered to be in a ""dry"" state?",2,Wood,Moisture,Below 20% ,Below 10%,Below 15%,Below 5%,Below 20% 
What is the impact of drying wood too quickly on its moisture content?,3,Wood,Moisture,"It can cause surface cracking, warping, and internal stresses due to uneven drying",It helps the wood retain more moisture,It prevents the wood from losing too much moisture,It speeds up the process of stabilizing the moisture content,"It can cause surface cracking, warping, and internal stresses due to uneven drying"
What is plaster primarily used for in construction?,2,General K,Plaster,To create smooth surfaces on walls and ceilings,To waterproof exterior foundations,To give walls and ceilings a textured finish,To insulate buildings,To create smooth surfaces on walls and ceilings
What is Accoya wood primarily known for?,1,Wood,Accoya,Its enhanced durability and resistance to rot,Its lightweight properties and flexibility,Its resistance to extreme heat and fire,Its ability to absorb water and swell,Its enhanced durability and resistance to rot
How does Accoya wood compare to traditional softwoods like pine?,5,Wood,Accoya,"Accoya is more durable, stable, and resistant to rot and decay",Accoya is softer and more prone to damage from insects,Accoya is lighter and easier to work with than pine,Accoya has a shorter lifespan than traditional softwoods,"Accoya is more durable, stable, and resistant to rot and decay"
Can Accoya wood be painted or stained?,3,Wood,Accoya,"Yes, it takes paint and stain very well due to its smooth surface and low moisture content","No, it cannot be painted or stained due to its high resin content","Yes, but it requires special paint that is only available in certain colours","No, it must remain untreated to preserve its natural look","Yes, it takes paint and stain very well due to its smooth surface and low moisture content"
What is a common application of Tricoya wood in construction?,4,Wood ,Tricoya,Exterior cladding and facades due to its enhanced durability and resistance to moisture and decay,Internal drywall for partition walls,Structural beams and load-bearing columns,Flooring in high-traffic areas,Exterior cladding and facades due to its enhanced durability and resistance to moisture and decay
What is the dimensional stability of Tricoya wood like?,4,Wood ,Tricoya,"Tricoya wood has excellent dimensional stability, meaning it is highly resistant to swelling, shrinking, and warping, even in changing humidity and moisture conditions",Tricoya wood has poor dimensional stability and tends to warp and shrink significantly in varying humidity.,"Tricoya wood has average dimensional stability, similar to untreated softwoods, and requires frequent maintenance","Tricoya wood has high dimensional stability but only when exposed to extreme heat, not moisture","Tricoya wood has excellent dimensional stability, meaning it is highly resistant to swelling, shrinking, and warping, even in changing humidity and moisture conditions"
What type of wood is commonly used to produce Thermowood?,4,Wood,Thermowood,"Softwoods such as pine, spruce, and fir are commonly used to produce Thermowood",Hardwoods such as oak and mahogany are primarily used to produce Thermowood,Bamboo is the most common material used to create Thermowood,Only tropical hardwoods are used to produce Thermowood,"Softwoods such as pine, spruce, and fir are commonly used to produce Thermowood"
How does Thermowood compare to untreated wood in terms of dimensional stability?,4,Wood,Thermowood,"Thermowood has significantly improved dimensional stability, meaning it is less likely to shrink, swell, or warp when exposed to moisture compared to untreated wood",Thermowood has the same dimensional stability as untreated wood and behaves similarly when exposed to moisture,"Thermowood has poorer dimensional stability than untreated wood, and it is more prone to swelling and shrinking","Thermowood is highly flexible, while untreated wood is rigid and more prone to cracking.","Thermowood has significantly improved dimensional stability, meaning it is less likely to shrink, swell, or warp when exposed to moisture compared to untreated wood"
What does abrade mean?,1,General K,,Light sand,Heavy sand,Wiping off excess oil,Wiping off excess varnish ,Light sand
What does polymerised mean?,2,General K,,Binding of chemicals,Seperation of chemicals,The hard substance in a varnish,The hard substance in an  oil,Binding of chemicals
What base is Morrells light fast wood stain?,1,Brand,Morrells,Solvent ,Oil,Water,Polyurethane,Solvent 
What is the Osmo intensive cleaner used for?,2,Brand,Osmo ,A pre treatment for removing dirt and stains,To remove all traces of oil,To revive grey timber ,To clean black water marks,A pre treatment for removing dirt and stains
"I have a shed that’s 6ft (h) x 5ft (l) and 4ft (w), how many squared feet do I have?",2,General K,,108,107,98,110,108
What type of paint can tend go yellow over time? ,2,Product type,Paint,Solvent ,Vinyl,Water,Acrylic  ,Solvent 
"If someone is painting their raised beds, what else can they do for extra protection against moisture?",3,General K,,Add a damp proof membrane ,Add a adhesive ,Add a wood hardener to the timber,Treat with mould and mildew cleaner ,Add a damp proof membrane 
What chemical is found in exterior products that is not good for internal use? ,2,General K,,Biocides,Toulene,Solvent  ,Cellulose,Biocides
What type of sheen is hard for paint to bond to? ,4,General K,,Gloss,Satin,Matt,Semi matt,Gloss
What is a tack cloth used for?,1,Application,,Removing dust and debris from surfaces before painting or finishing.,Polishing metal surfaces,Measuring paint thickness,Smoothing out rough edges on wood,Removing dust and debris from surfaces before painting or finishing.
" A log cabin has a rectangular floor with dimensions of 8 meters by 12 meters. The walls of the cabin are made from logs that are 0.25 meters in diameter and are stacked vertically to a height of 3 meters. If the logs are stacked side by side, what is the total length of the logs used for the four walls of the cabin?",5,General K,Measurements,96 meters,96.5 meters,100 meters,106 meters,96 meters
Which of the following is a common consequence of owning a listed building?,2,General K,,"Owners must adhere to strict guidelines for repair, maintenance, and alteration to preserve the building’s character","Owners are responsible for restoring the building to its original state, regardless of cost",Owners must sell the property to the government if they no longer want to maintain it,Owners are usually provided with tax breaks to cover maintenance costs,"Owners must adhere to strict guidelines for repair, maintenance, and alteration to preserve the building’s character"
What does self levelling mean?,3,General K,,Self levelling refers to a material that spreads out to form a smooth level surface,Self levelling is a technique used to make paint dry faster by applying heat,Self-levelling refers to a method of training animals to balance on uneven surfaces.,Self-levelling is a process in which water levels automatically adjust in rivers without any external factors.,Self levelling refers to a material that spreads out to form a smooth level surface
A customer has used Peelaway 1 and it has made their wood go black. Why could this be? ,5,Brand,Peelaway,They have used it on Oak ,They have used it on Pine,They have used it on the wrong paint type ,They used it on Mahogany ,They have used it on Oak 
What makes wood spalted? ,4,Wood,Spalted,Fungal growth that creates distinctive patterns in the wood,Exposure to sunlight for long periods,Being soaked in water for several weeks,Heating the wood to high temperatures,Fungal growth that creates distinctive patterns in the wood
What is a common method for stabilizing spalted wood before using it in woodworking projects?,5,Wood,Spalted,Treating the wood with a stabilizing resin or epoxy to harden it,Freezing the wood to prevent further fungal growth,Exposing the wood to high heat to kill the fungi,Soaking the wood in water for a week,Treating the wood with a stabilizing resin or epoxy to harden it
What is a scrub 1 rating? ,3,General K,Paint ,The highest level of scrub resistance in a paint or coating,The lowest level of scrub resistance in a paint or coating,If a product is scrubbed once it will wear off ,The level of slip resistance in a product,The highest level of scrub resistance in a paint or coating
What are the characteristics of ‘green’ timber?,2,General K,,Wet and high moisture content,Dry and ready to treat,Ridden with woodworm,Susepible to rotting ,Wet and high moisture content
