question,level,category,product,option_a,option_b,option_c,option_d,correct_option
What is the most common use of pine wood?,2,Wood,Softwood,Sculpture carving,Boat building,"Furniture, log  cabins and cabinetry ",Windows ,"Furniture, log  cabins and cabinetry "
Which of the following is a disadvantage of using pine wood?,1,Wood,Softwood,It is difficult to cut and shape,It is highly resistant to moisture,It is prone to scratching and denting due to its softness,It has a very expensive price point,It is prone to scratching and denting due to its softness
Where is iroko wood commonly found?,4,Wood,Hardwood,Southeast Asia,South America,West and Central Africa,North America,West and Central Africa
What is a challenge when working with iroko wood?,3,Wood,Hardwood,It is very easy to carve and shape,It requires no finishing or treatment,It can be difficult to sand and finish due to its oily nature,It requires no finishing or treatment,It can be difficult to sand and finish due to its oily nature
What is the typical grain pattern of iroko wood?,4,Wood,Hardwood,"t has a very tight, uniform grain pattern with no variation",It has a highly curly or wavy grain pattern,It has a straight to interlocking grain pattern,"It has a random, chaotic grain pattern with no discernible structure",It has a straight to interlocking grain pattern
How does iroko wood compare to teak in terms of its dimensional stability when exposed to fluctuating humidity?,5,Wood,Hardwood,Iroko is more dimensionally stable than teak due to its denser fibers,Iroko's stability is comparable to that of synthetic materials like plastic,"Iroko has slightly lower dimensional stability than teak, making it more prone to expansion and contraction with humidity changes","Iroko is completely unaffected by humidity changes, unlike teak","Iroko has slightly lower dimensional stability than teak, making it more prone to expansion and contraction with humidity changes"
What is idigbo wood most commonly used for?,2,Wood,Hardwood,Boat building,Paper production,"Furniture, cabinetry, and flooring",Log cabins,"Furniture, cabinetry, and flooring"
"What does ""raised grain"" refer to in wood?",2,Wood,Grain,A discoloration that occurs when wood is exposed to sunlight,The formation of cracks in wood caused by drying,The rough texture on the surface of wood fibers caused by moisture absorption,A type of wood defect where the grain pattern is uneven,The rough texture on the surface of wood fibers caused by moisture absorption
How does the presence of raised grain affect wood finishing?,3,Wood,Grain,It makes the wood more resistant to scratches after the finish is applied,It enhances the glossiness and clarity of the finish,It makes the surface uneven and can result in an imperfect finish if not smoothed out before applying additional coats,It improves the bonding of the finish to the wood surface,It makes the surface uneven and can result in an imperfect finish if not smoothed out before applying additional coats
Which of the following wood finishes is least likely to cause raised grain when applied to wood?,3,Wood,Grain,"Shellac finishes, which create a highly glossy surface but also tend to raise grain","Lacquer finishes, which are more likely to raise grain due to their high solvent content","Oil-based finishes, which generally raise less grain than water-based finishes","Water-based finishes, which raise the grain more significantly","Oil-based finishes, which generally raise less grain than water-based finishes"
"What is the main disadvantage of using sandpaper with too fine of a grit (e.g., 1000 or higher) on unfinished wood?",2,Preparation,Sanding,It can result in a rough texture that makes the wood harder to sand later,"It may cause the wood to absorb too much moisture, leading to swelling","It can burnish the surface, creating a slick finish that makes it harder for stains or finishes to penetrate properly",It can create deep scratches that are difficult to remove,"It can burnish the surface, creating a slick finish that makes it harder for stains or finishes to penetrate properly"
"When should ""P100"" or ""P120"" grit sandpaper be used in a woodworking project, and what does the ""P"" designation mean?",5,Preparation,Sanding,"P100"" or ""P120"" grit sandpaper is only used for removing heavy material or rough surfaces","The ""P"" designation refers to the sandpaper being specifically designed for the type of sandpaper","P100"" or ""P120"" grit sandpaper is typically used for medium sanding to smooth surfaces before moving to finer grits. The ""P"" designation indicates that the sandpaper is rated according to the European FEPA (Federation of European Producers of Abrasives) standard, which is a grading system for abrasives.","P100"" or ""P120"" grit sandpaper is best for polishing wood to a high gloss finish","P100"" or ""P120"" grit sandpaper is typically used for medium sanding to smooth surfaces before moving to finer grits. The ""P"" designation indicates that the sandpaper is rated according to the European FEPA (Federation of European Producers of Abrasives) standard, which is a grading system for abrasives."
Why is it important to use a dust collection system when operating sanding machines?,2,Preparation,Sanding,To increase the sanding speed and efficiency,To prevent the sandpaper from clogging,"To reduce airborne dust, improve air quality, and prevent respiratory issues",To make the machine quieter during operation,"To reduce airborne dust, improve air quality, and prevent respiratory issues"
What is the primary cause of wood cupping?,2,Wood,,Moisture loss from one side of the wood,High heat exposure,Uneven drying or moisture distribution,Wood being too thick,Uneven drying or moisture distribution
How can you fix a warped piece of wood?,3,Wood,,By wrapping it tightly in plastic to prevent air exposure,By sanding the wood until it flattens,By soaking it in water and allowing it to dry under pressure,By applying heat and humidity to cause it to shrink,By soaking it in water and allowing it to dry under pressure
What is the typical disadvantage of using a natural bristle brush with water-based paints?,3,Application,Brush,"The bristles may absorb too much paint, leading to uneven application",The bristles may become too stiff after cleaning,The bristles can become waterlogged and lose their shape,"The paint may dry too quickly on the brush, resulting in streaks",The bristles can become waterlogged and lose their shape
What should you do after sanding to prevent grain reversal before applying a finish?,5,,,Wipe the wood with a dry cloth,Sand the surface again with the same grit sandpaper,Wet the wood surface lightly and then sand again,Apply the finish immediately without preparation,Wet the wood surface lightly and then sand again
What is Bona Hardwood Floor Cleaner primarily used for?,1,Brand,Bona,Polishing granite surfaces,Removing wallpaper from walls,Cleaning wood flooring,Cleaning laminate flooring,Cleaning wood flooring
"What is the primary advantage of Bona’s ""Waterborne"" finish products?",1,Brand,Bona,They are applied in a single coat for complete coverage,They are resistant to all stains and scratches,They dry faster and emit fewer fumes compared to oil-based finishes,They require no preparation before application,They dry faster and emit fewer fumes compared to oil-based finishes
What is the main ingredient in traditional distemper paint?,3,Product type,Paint,Acrylic resin,Synthetic binders,Lime and pigment,Oil and turpentine,Lime and pigment
What is the primary ingredient in limewash paint?,3,Product type,Paint,Acrylic resin,Oil,Lime and water,Synthetic binders,Lime and water
What is a common issue when applying limewash on non-porous surfaces like drywall?,3,Product type,Paint,"It can create a smooth, high-gloss finish",It makes the surface too absorbent,It may not adhere properly or may peel off,It dries too quickly and creates streaks,It may not adhere properly or may peel off
What is the main reason for the chalky finish of limewash paint?,4,Product type,Paint,The addition of synthetic additives,The inclusion of sand in the formula,The use of natural pigments and lime,The oil content in the paint,The use of natural pigments and lime
What is often used in colour drenching to create variation and interest within the same color?,3,Product type,Paint,Different types of wallpaper,Mixing in multiple contrasting colors,"Different finishes or textures (matte, satin, gloss)",Using patterned fabric for furniture only,"Different finishes or textures (matte, satin, gloss)"
"What is the primary focus of Craig & Rose's ""Eco"" range of products?",1,Brand,Craig and rose,Bright colours,High-gloss finishes,Environmentally friendly paints,Paints for outdoor use,Environmentally friendly paints
What is one of the key selling points of Craig & Rose’s “Chalky Finish” paint when applied to furniture?,2,Brand,Craig and rose,It is designed to be self-cleaning once applied,"It provides a smooth, high-gloss surface perfect for modern decor","It allows for a distressed, vintage look with ease","It creates a thick, textured coating ideal for rustic environments","It allows for a distressed, vintage look with ease"
What manns product is best for a bartop?,2,Brand,Manns,Manns classic pine stain ,Manns classic oak stain,Manns trade bar top lacquer,Manns premier UV decking oil ,Manns trade bar top lacquer
What is the mixing ratio of Manns pro lacquer to hardener?,3,Brand,Manns,10 parts lacquer to 1 part hardener ,8 parts lacquer to 2 parts hardener,9 parts lacquer to 1 part hardener,6 parts lacquer to 4 parts hardener,9 parts lacquer to 1 part hardener
"Which type of finish is Polyvine's ""Decorative Glaze"" designed for?",3,Brand,Polyvine,Matte finish for industrial applications,"High-gloss, reflective finish for metal surfaces","Creating a translucent, decorative finish over surfaces","Smooth, solid-color paint finish","Creating a translucent, decorative finish over surfaces"
What  makes Polyvine wood oil stand out? ,2,Brand,Polyvine,Cellulose based,Solvent based,Solvent free,Ultra High VOC ,Solvent free
What Woodleys sandpaper sheet would you recommend for sanding between coats of paint? ,2,Application,,60,80,240,320,240
Which of the following surfaces is Zinsser BIN NOT recommended for?,5,Brand,Zinsser,Wood and Metal,Walls and ceilinmgs,Glossy smooth enamel surfaces,Glass and tiles,Glossy smooth enamel surfaces
What is the recommended application method for Zinsser All Coat Exterior?,3,Brand,Zinsser,Pressure washer,Cloth,"Brush, roller, spray",Sponge,"Brush, roller, spray"
What is the primary advantage of Zinsser Bulls Eye 1-2-3 being a water-based primer?,2,Brand,Zinsser,"It dries slower, allowing for more time to work on large projects",It provides a high-gloss finish on all surfaces,It is low in odor and easy to clean up with soap and water,It has superior adhesion on all metal surfaces without any additional preparation,It is low in odor and easy to clean up with soap and water
Which of the following is a feature of Dulux paints?,1,Brand,Dulux,They are only available in one colour,They require multiple coats but have no colour options,They are known for providing a high-quality finish and durability,They cannot be used on exterior surfaces,They are known for providing a high-quality finish and durability
Which of these is a benefit of using Dulux Diamond Matt paint?,3,Brand,Dulux,It creates a shiny and reflective surface,It is only suitable for ceilings,"It is extremely resistant to stains and marks, making it ideal for high-traffic areas",It dries slowly for a smoother finish,"It is extremely resistant to stains and marks, making it ideal for high-traffic areas"
"Dulux Trade products are typically formulated for professional use. What is a distinguishing feature of Dulux Trade ""Vinyl Matt"" paint?",5,Brand,Dulux,It is designed for high-gloss finishes on interior trim,"It is an ultra-low-VOC paint, ideal for sensitive environments like hospitals","It offers a flat, non-reflective finish that hides imperfections and provides durability in high-traffic areas",It is only suitable for exterior use due to its resistance to mold growth,"It offers a flat, non-reflective finish that hides imperfections and provides durability in high-traffic areas"
"Dulux ""Trade"" Diamond Satinwood is formulated for durability. What is the specific characteristic of this product that contributes to its stain resistance and ease of cleaning?",5,Brand,Dulux,It includes a special texture that repels dirt but does not resist water,It dries with a flexible finish that stretches when exposed to moisture,"It contains a combination of high-density resins that form a tough, non-porous layer",It is intended only for decorative use and is not resistant to heavy wear,"It contains a combination of high-density resins that form a tough, non-porous layer"
"When applying Sandtex Trade ""Masonry Paint"" on new or bare masonry, which preparation step is typically required for the best results?",3,Brand,Sandtex,Apply a thick layer of paint directly to the surface without priming,"Sand the surface to a smooth, glossy finish before applying paint","Clean the surface thoroughly to remove dirt, dust, and loose particles, and apply a suitable primer if necessary",Wet the surface with water before applying the paint to ensure proper adhesion,"Clean the surface thoroughly to remove dirt, dust, and loose particles, and apply a suitable primer if necessary"
What cant I use the Sadolin superdec on? ,3,Brand,Sadolin ,Stone and Plastisol,Concrete  ,Decking or flooring,Wood,Decking or flooring
Can Sadolin classic wood protection be used on decking? ,2,Brand,Sadolin ,"No, its not suitable under foot ","Yes, but needs an undercoat first",Yes it can go on decking ,"No, only suitable for windows ",Yes it can go on decking 
Which of the following best describes the finish provided by Osmo Polyx Oil Tints?,2,Brand,Osmo ,Matt,Gloss,Satin,High gloss ,Satin
How does Osmo Wood Wax Finish Transparent compare to traditional varnishes in terms of maintenance?,3,Brand,Osmo ,It requires frequent sanding and stripping before reapplication,It needs to be reapplied less often than varnishes due to its thinner layer,"It is low-maintenance, and only minor touch-ups are needed when areas become worn",It creates an impermeable layer that needs to be completely removed before re-coating,"It is low-maintenance, and only minor touch-ups are needed when areas become worn"
"Black spots on my exterior Oak, what are they and how can I remove them? ",4,Brand,Osmo ,Silvered timber and use the Osmo wood reviver,Use Zinsser BIN,Tannin spots and remove with tannin spot remover,Use a wax polish ,Tannin spots and remove with tannin spot remover
What would happen if you used Osmo Raw 3044 on sandblasted wood? ,4,Brand,Osmo ,It will go a lot darker as its rough,It will look perfect,The white pigment is going to get caught in the grain,It will stain the wood brown ,The white pigment is going to get caught in the grain
Can you use Osmo UV protection oil 420 on shou shi ban tiger effect? ,5,Brand,Osmo ,Yes but you need 4 coats,Not recommended,"Yes, if the charring is light",Yes but it only needs one coat ,"Yes, if the charring is light"
"Customer has brought Osmo wood protector and Osmo polyx oil raw, why could this be an issue? ",4,Brand,Osmo ,Wood protector is water based and the top coat is solvent based,The wood protector is a raw finish and the raw will darken the wood,They are not designed to be used together as raw will look milky and wood would have darkened already,These are a perfect combination,They are not designed to be used together as raw will look milky and wood would have darkened already
Which of the following is a key advantage of using Fiddes Hard Wax Oil on wooden floors?,1,Brand,Fiddes,Requires constant reapplication due to poor durability,"Creates a high-gloss, synthetic surface that hides wood grain","Provides a durable, water-resistant finish while maintaining the natural feel of wood","Turns the wood surface a dark, artificial colour","Provides a durable, water-resistant finish while maintaining the natural feel of wood"
How many coats of Fiddes hard wax oil on hardwood? ,3,Brand,Fiddes,5,3,2,1,2
Can I mix the Fiddes hard wax oil tints in Whiskey and in Walnut? ,3,Brand,Fiddes,No but you can  mix it with the clear Fiddes hard wax oil ,Yes but you need to add some meths too,"Yes, you can intermix the range",No the range cannot be intermixed,"Yes, you can intermix the range"
Which of the following Barrettine products is specifically designed for cleaning and preparing outdoor wood surfaces before treatment?,1,Brand,Barrettine,Barrettine Sugar Soap,Barrettine methylated spirits,Barrettine mould and mildew cleaner,Barrettine premier wood preserver ,Barrettine mould and mildew cleaner
Is this all I need to protect my summer house (Barrettine premier wood preserver)?,2,Brand,Barrettine,"Yes, this product cannot be overcoated",No you will need to use a water based paint over the top ,"It can be used as standalone, but we would recommend oiling over for more protection","No, you always need to overcoat this product as it has no wax content ","It can be used as standalone, but we would recommend oiling over for more protection"
Can you use Wood Protective Treatment inside on timber cladding?,3,Brand,Barrettine,Only if you spray it on,As long as there is good ventilation,It is not recommended on interior projects,Only the clear can ,It is not recommended on interior projects
Can I apply 2-3 coats of the Barrettine anti slip decking oil onto the bare wood?,2,Brand,Barrettine,Yes that is whats recommended,No you can only do one coat on bare wood,No you need to do 1 coat of normal decking oil followed by 1 anti slip ,You need to do 3 coats on bare wood ,No you need to do 1 coat of normal decking oil followed by 1 anti slip 
What is the primary advantage of using Crown’s Clean Extreme range?,3,Brand,Crown,Low-VOC content,High-gloss finish,Washable and stain-resistant finish,Fast-drying formula,Washable and stain-resistant finish
Whats in the Crown easyclean kitchen emulsion that makes it suitable for kitchens?,2,Brand,Crown,Slip resistance,Mould guard,Greaseguard,Food safety,Greaseguard
Why is Liberon steel wool sometimes not recommended for Oak? ,2,Brand,Liberon,It can turn the Oak white,Its way to aggressive,It can get caught in the grain and rust ,Its fine to use on Oak just not Pine,It can get caught in the grain and rust 
What is Liberon burnishing cream designed to remove?,3,Brand,Liberon,Silvered denatured timber,Water marks,Haze and bloom,Sticky oil residue ,Haze and bloom
What would you use the Manns classic beeswax on?,1,Brand,Manns ,Flooring ,Windows and doors,Antiques and low traffic areas,Exterior cladding ,Antiques and low traffic areas
What does the term 'pulling over' when varnishing? ,5,Brand,Morrells,Applying oil and then overcoating with varnish,Not allowing one coat to dry and then going over with another,A method of levelling the final film of a shellac or nitrocellulose finish by means of a solvent-damped rubber,Putting one varnish over another,A method of levelling the final film of a shellac or nitrocellulose finish by means of a solvent-damped rubber
What is the re coat time on Morrells light fast wood stain (stain on stain)?,3,Brand,Morrells,4 hours,2 hours,30 minutes,10 minutes ,30 minutes
What rating is  BS 7976-2  used for?,5,Brand,Morrells,Food safety ,Heat resistance,Wet and dry slip resistance,School approved ,Wet and dry slip resistance
What happens to wood when its moisture content is too high?,1,Wood,Moisture,It becomes more durable,It dries out quickly,It may swell and become distorted,It gains strength and stability,It may swell and become distorted
What are wood extractives?,2,Wood ,Extractives,"The inorganic minerals present in wood, like calcium and magnesium",The moisture content in wood that influences its weight,"Compounds naturally found in wood, such as resins, oils, and tannins, which can affect the wood's properties",The fibers that give wood its strength and structure,"Compounds naturally found in wood, such as resins, oils, and tannins, which can affect the wood's properties"
What role do wood extractives play in the chemical composition of hardwoods versus softwoods?,4,Wood ,Extractives,"Softwoods have no extractives, while hardwoods are rich in oils and fats","Hardwoods contain only resins, while softwoods contain a wider variety of extractives","Hardwoods generally contain more complex extractives like tannins and phenolic compounds, while softwoods tend to have higher amounts of resinous extractives",The extractives in hardwoods and softwoods are identical in composition and function,"Hardwoods generally contain more complex extractives like tannins and phenolic compounds, while softwoods tend to have higher amounts of resinous extractives"
"What is the primary reason for the ""blistering"" or ""bubbling"" of paint on plaster surfaces?",3,General K,Plaster,Too much sunlight or heat exposure during the drying process,Using a paint that is incompatible with plaster,Trapped moisture in the plaster that hasn't fully dried or cured,Applying paint too thickly on the plaster surface,Trapped moisture in the plaster that hasn't fully dried or cured
What is the typical lifespan of Accoya wood when used outdoors?,4,Wood,Accoya,It requires replacement every 30 years due to its rapid degradation,It lasts about 15-20 years without any treatment,It can last up to 50 years or more with proper maintenance,It lasts only 5-10 years before showing signs of decay,It can last up to 50 years or more with proper maintenance
How does Accoya wood react to temperature changes?,3,Wood,Accoya,It warps and shrinks more than untreated wood,"It becomes brittle in cold temperatures, cracking easily.","It has minimal movement and high dimensional stability, making it ideal for fluctuating climates",It expands significantly when exposed to heat,"It has minimal movement and high dimensional stability, making it ideal for fluctuating climates"
How is Tricoya wood modified to enhance its properties?,3,Wood ,Tricoya,Tricoya wood is treated with a synthetic plastic coating that gives it a rigid structure,Tricoya wood is heated to high temperatures to remove moisture and improve its strength,"Tricoya wood is treated with an acetylation process that modifies the wood's cell structure to improve resistance to moisture, rot, and decay",Tricoya wood is coated with a layer of epoxy resin to make it more durable,"Tricoya wood is treated with an acetylation process that modifies the wood's cell structure to improve resistance to moisture, rot, and decay"
Can Tricoya wood be painted or stained?,4,Wood ,Tricoya,"Yes, but only a specific type of paint can be used due to its moisture-resistant properties","No, Tricoya wood is chemically treated to resist paints and stains, making it unsuitable for finishing","Yes, Tricoya wood can be easily painted or stained, and it holds finishes well due to its smooth surface and enhanced stability","No, Tricoya wood cannot be painted or stained because the acetylation process makes it too smooth for coatings to adhere","Yes, Tricoya wood can be easily painted or stained, and it holds finishes well due to its smooth surface and enhanced stability"
What is the main benefit of Thermowood compared to untreated wood?,4,Wood,Thermowood,"Thermowood has a brighter color and smoother texture than untreated wood, requiring no finishing",Thermowood has a higher natural resistance to pests and insects compared to untreated wood.,"Thermowood has improved durability, dimensional stability, and resistance to moisture, rot, and decay due to the thermal modification process",Thermowood is lighter and easier to cut than untreated wood,"Thermowood has improved durability, dimensional stability, and resistance to moisture, rot, and decay due to the thermal modification process"
Does Thermowood require any chemical treatment during the manufacturing process?,4,Wood,Thermowood,"No, Thermowood is treated with water to remove any harmful chemicals from the wood","Yes, Thermowood is chemically treated with preservatives during the heat process to prevent rot.","No, Thermowood is produced through a heat treatment process without the use of any chemicals","Yes, Thermowood is treated with toxic chemicals to enhance its durability","No, Thermowood is produced through a heat treatment process without the use of any chemicals"
What does Light fast mean?,1,General K,,Resistant to mould,Resistant to heat,Resistant to fading,Resistant to splitting ,Resistant to fading
What is a common issue when staining wood that can be avoided with proper application?,2,Product type,Stain,Increased density of the wood,Fading after exposure to sunlight,Streaking and blotching,Darkening of the wood,Streaking and blotching
What is the Osmo liquid wax cleaner used for? ,2,Brand,Osmo ,To clean black water marks,To revive grey timber,Fill in any scratches,To add a layer of colour,Fill in any scratches
What is a DPM?,3,Product type,Primer,A filler,An adhesive ,Moisture barrier,A wood hardener,Moisture barrier
What is the Osmo maintenance used for? ,2,Brand,Osmo ,Maintaining areas for Osmo country colour,Maintaining areas for Osmo Garden Colour,Maintaining areas for Osmo polyx oil ,Maintaining areas for Osmo decking oil ,Maintaining areas for Osmo polyx oil 
What are the differences in a acrylic and polyurethane varnish?,3,Product type,Varnish,"Acrylic is solvent, polyurethane is always water based",Acrylic is more durable than polyurethane,Polyurethane varnish is more durable compared to Acrylic,"Polyurethane can only be sprayed, Acrylic is brush applied",Polyurethane varnish is more durable compared to Acrylic
"A customer would like a coloured oil for a hardwood floor, what one would be the best?",3,Project,Floor,Osmo polyx oil tints ,Osmo wood wax finish intensive   ,Fiddes hard wax oil tints,Manns flooring oil tints,Fiddes hard wax oil tints
What is the primary purpose of listing a building in the United Kingdom?,1,General K,,To increase the market value of the property,To make the building eligible for demolition,To preserve the building's architectural and historical significance,To make the building more energy-efficient,To preserve the building's architectural and historical significance
What can cause a paint to come out two different shades?,3,Product type,Paint,Applying paint in different layers will naturally cause the paint to come out in two different shades,Using a paintbrush instead of a roller will cause the paint to change shades.,Inconsistent mixing of the paint or using different batches of paint can cause it to come out in two different shades.,"Painting in different weather conditions will always result in different paint shades, regardless of the paint type",Inconsistent mixing of the paint or using different batches of paint can cause it to come out in two different shades.
What can peelaway 1 do to Mahogany?,5,Brand,Peelaway,Make it more brittle,Turn it black,Give it a purple hue,Make it less porous ,Give it a purple hue
What is a potential downside of using spalted wood?,4,Wood,Spalted,It is too difficult to sand or finish,It is always too expensive for practical use,"It can be structurally weakened by fungal decay, making it less durable",It always lacks visual appeal and grain patterns,"It can be structurally weakened by fungal decay, making it less durable"
What is the role of moisture in the spalting process?,5,Wood,Spalted,"Moisture accelerates the decay of the wood, making spalting impossible",Moisture helps to preserve the wood's structure and prevents fungal growth,"Moisture promotes fungal growth, which leads to the distinctive patterns of spalting","Moisture makes the wood more flexible, allowing for better carvability","Moisture promotes fungal growth, which leads to the distinctive patterns of spalting"
